,Incident Number,Incident Types,Reported Date,Province,Company,Substance,Volume Released (m3)
1141,INC2017-198,Release of Substance,12/13/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Propane,0.94
1142,INC2017-201,Release of Substance,12/27/2017,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,252.0
1143,INC2017-202,Release of Substance,12/30/2017,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,13399.59
1144,INC2018-001,Release of Substance,01/08/2018,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,0.01
1145,INC2018-002,Serious Injury (CER or TSB),01/09/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1146,INC2018-003,Release of Substance,01/11/2018,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,265457.0
1147,INC2018-004,Operation Beyond Design Limits,01/12/2018,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,
1148,INC2018-005,Fire,01/12/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1149,INC2018-006,Fire,01/16/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1150,INC2018-007,Release of Substance,01/19/2018,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,3771.0
1151,INC2018-008,Release of Substance,01/20/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,60.0
1152,INC2018-009,Release of Substance,01/22/2018,Alberta,TransCanada PipeLines Limited,Natural Gas - Sweet,0.51
1153,INC2018-011,Fire,01/25/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1154,INC2018-012,Release of Substance,02/01/2018,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,17260.0
1155,INC2018-013,Release of Substance,02/04/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,159600.0
1156,INC2018-015,Release of Substance,02/05/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,3249.3
1157,INC2018-016,Fire,02/16/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1158,INC2018-018,Release of Substance,02/19/2018,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,253.27
1159,INC2018-024,Operation Beyond Design Limits,03/29/2018,Ontario,Enbridge Pipelines Inc.,Not Applicable,
1160,INC2018-025,Operation Beyond Design Limits,04/02/2018,Ontario,Centra Transmission Holdings Inc.,Not Applicable,
1161,INC2018-026,Release of Substance,04/03/2018,Alberta,Enbridge Pipelines Inc.,Diesel Fuel,5.0
1162,INC2018-027,Serious Injury (CER or TSB),04/12/2018,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
1163,INC2018-028,Release of Substance,04/14/2018,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,50622.5
1164,INC2018-030,Release of Substance,04/17/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,1694.0
1165,INC2018-031,Release of Substance,04/24/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,200.0
1166,INC2018-032,Fire,04/24/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1167,INC2018-033,Operation Beyond Design Limits,04/25/2018,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1168,INC2018-034,Operation Beyond Design Limits,04/26/2018,British Columbia,Pouce Coup� Pipe Line Ltd. as agent and general partner of the Pembina North Limited Partnership,Not Applicable,
1169,INC2018-035,Release of Substance,04/26/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,6541.0
1170,INC2018-037,Release of Substance,04/28/2018,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,1.0
1171,INC2018-039,Release of Substance,05/02/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Glycol,5.913
1172,INC2018-040,Release of Substance,05/03/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,59.7
1173,INC2018-041,Fire,05/04/2018,Ontario,TransCanada PipeLines Limited,Not Applicable,
1174,INC2018-042,Operation Beyond Design Limits,05/04/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1175,INC2018-043,Operation Beyond Design Limits,05/08/2018,Alberta,Enbridge Pipelines Inc.,Not Applicable,
1176,INC2018-045,Operation Beyond Design Limits,05/15/2018,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1177,INC2018-046,Operation Beyond Design Limits,05/22/2018,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1178,INC2018-047,Release of Substance,05/23/2018,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,1e-04
1179,INC2018-049,Release of Substance,05/27/2018,British Columbia,Trans Mountain Pipeline ULC,Crude Oil - Sweet,4.8
1180,INC2018-050,Operation Beyond Design Limits,05/29/2018,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1181,INC2018-052,Operation Beyond Design Limits,05/29/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1182,INC2018-053,Fire,05/31/2018,Ontario,TransCanada PipeLines Limited,Not Applicable,
1183,INC2018-054,Fire,05/31/2018,Ontario,TransCanada PipeLines Limited,Not Applicable,
1184,INC2018-056,Operation Beyond Design Limits,06/06/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1185,INC2018-058,Operation Beyond Design Limits,06/07/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1186,INC2018-060,Release of Substance,06/10/2018,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,13944.0
1187,INC2018-061,Fire,06/15/2018,Ontario,TransCanada PipeLines Limited,Not Applicable,
1188,INC2018-063,Fire,06/20/2018,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1189,INC2018-065,Release of Substance,06/21/2018,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,62.0
1190,INC2018-066,Release of Substance,06/23/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,27593.0
1191,INC2018-067,Fire,06/26/2018,Ontario,TransCanada PipeLines Limited,Not Applicable,
1192,INC2018-068,Release of Substance,06/26/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,199.0
1193,INC2018-069,Operation Beyond Design Limits,06/28/2018,Alberta,Enbridge Pipelines Inc.,Not Applicable,
1194,INC2018-070,Operation Beyond Design Limits,06/29/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1195,INC2018-077,Operation Beyond Design Limits,07/23/2018,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
1196,INC2018-078,Operation Beyond Design Limits,07/23/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1197,INC2018-079,Operation Beyond Design Limits,07/23/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1198,INC2018-080,Operation Beyond Design Limits,07/31/2018,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
1199,INC2018-081,Operation Beyond Design Limits,07/31/2018,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
1200,INC2018-082,Serious Injury (CER or TSB),08/01/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1201,INC2018-083,Operation Beyond Design Limits,08/02/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1202,INC2018-084,Operation Beyond Design Limits,08/02/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1203,INC2018-085,Operation Beyond Design Limits,08/02/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1204,INC2018-087,Operation Beyond Design Limits,08/09/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1205,INC2018-088,Operation Beyond Design Limits,08/10/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1206,INC2018-089,Operation Beyond Design Limits,08/14/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1207,INC2018-090,Operation Beyond Design Limits,08/18/2018,British Columbia,Foothills Pipe Lines Ltd.,Not Applicable,
1208,INC2018-091,Fire,08/20/2018,British Columbia,Foothills Pipe Lines Ltd.,Not Applicable,
1209,INC2018-092,Operation Beyond Design Limits,08/20/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1210,INC2018-094,Operation Beyond Design Limits,08/21/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1211,INC2018-095,Operation Beyond Design Limits,08/22/2018,Ontario,TransCanada PipeLines Limited,Not Applicable,
1212,INC2018-096,Operation Beyond Design Limits,08/22/2018,Ontario,TransCanada PipeLines Limited,Not Applicable,
1213,INC2018-097,Operation Beyond Design Limits,08/22/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1214,INC2018-098,Fire,08/22/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1215,INC2018-099,Fire,08/23/2018,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
1216,INC2018-100,Operation Beyond Design Limits,08/23/2018,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1217,INC2018-101,Operation Beyond Design Limits,08/24/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1218,INC2018-103,Fire,08/24/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1219,INC2018-104,Operation Beyond Design Limits,08/31/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1220,INC2018-105,Operation Beyond Design Limits,09/01/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1221,INC2018-106,Operation Beyond Design Limits,09/01/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1222,INC2018-107,Operation Beyond Design Limits,09/01/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1223,INC2018-108,Operation Beyond Design Limits,09/01/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1224,INC2018-109,Operation Beyond Design Limits,09/01/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1225,INC2018-111,"Release of Substance, Adverse Environmental Effects",09/04/2018,Manitoba,Tundra Energy Marketing Limited,Drilling Fluid,0.05
1226,INC2018-112,Operation Beyond Design Limits,09/06/2018,Alberta,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1227,INC2018-113,Serious Injury (CER or TSB),09/06/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1228,INC2018-114,Operation Beyond Design Limits,09/10/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1229,INC2018-115,Adverse Environmental Effects,09/11/2018,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
1230,INC2018-117,Release of Substance,09/14/2018,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,50767.0
1231,INC2018-118,Serious Injury (CER or TSB),09/14/2018,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
1232,INC2018-119,Fire,09/15/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1233,INC2018-121,Fire,09/19/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1234,INC2018-123,Operation Beyond Design Limits,09/20/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1235,INC2018-125,Fire,09/21/2018,British Columbia,Spectra Energy Midstream Canada Partner Corporation,Not Applicable,
1236,INC2018-127,Serious Injury (CER or TSB),09/25/2018,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
1237,INC2018-132,Fire,09/26/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1238,INC2018-134,Operation Beyond Design Limits,09/28/2018,Ontario,TransCanada PipeLines Limited,Not Applicable,
1239,INC2018-136,Release of Substance,09/28/2018,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,25195.0
1240,INC2018-137,Operation Beyond Design Limits,10/01/2018,Saskatchewan,Tundra Energy Marketing Limited,Not Applicable,
1241,INC2018-139,Release of Substance,10/06/2018,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,607.13
1242,INC2018-141,Serious Injury (CER or TSB),10/09/2018,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
1243,INC2018-142,"Explosion, Fire, Release of Substance",10/09/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,3980000.0
1244,INC2018-144,Serious Injury (CER or TSB),10/10/2018,Saskatchewan,TransCanada PipeLines Limited,Not Applicable,
1245,INC2018-145,Release of Substance,10/15/2018,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,10.0
1246,INC2018-149,Operation Beyond Design Limits,10/18/2018,Ontario,Enbridge Pipelines Inc.,Not Applicable,
1247,INC2018-151,Operation Beyond Design Limits,10/18/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1248,INC2018-152,Fire,10/19/2018,Saskatchewan,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
1249,INC2018-153,Fire,10/20/2018,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,
1250,INC2018-157,Operation Beyond Design Limits,10/24/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1251,INC2018-158,Serious Injury (CER or TSB),10/29/2018,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
1252,INC2018-159,Operation Beyond Design Limits,10/30/2018,British Columbia,Foothills Pipe Lines Ltd.,Not Applicable,
1253,INC2018-160,Operation Beyond Design Limits,11/05/2018,Alberta,Pouce Coup� Pipe Line Ltd. as agent and general partner of the Pembina North Limited Partnership,Not Applicable,
1254,INC2018-162,Fire,11/07/2018,Quebec,Trans Qu�bec and Maritimes Pipeline Inc.,Not Applicable,
1255,INC2018-163,Operation Beyond Design Limits,11/12/2018,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1256,INC2018-165,Release of Substance,11/21/2018,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,8213.59
1257,INC2018-166,Release of Substance,11/23/2018,Manitoba,Plains Midstream Canada ULC,Propane,1e-04
1258,INC2018-169,Operation Beyond Design Limits,11/28/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1259,INC2018-170,Operation Beyond Design Limits,11/28/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1260,INC2018-171,Serious Injury (CER or TSB),11/29/2018,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
1261,INC2018-172,Operation Beyond Design Limits,11/30/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1262,INC2018-173,Operation Beyond Design Limits,11/30/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1263,INC2018-174,Operation Beyond Design Limits,12/01/2018,Alberta,Express Pipeline Ltd.,Not Applicable,
1264,INC2018-175,Serious Injury (CER or TSB),12/03/2018,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
1265,INC2018-176,Serious Injury (CER or TSB),12/04/2018,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
1266,INC2018-177,Release of Substance,12/04/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,4.94
1267,INC2018-182,Release of Substance,12/13/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,9500.0
1268,INC2018-183,Release of Substance,12/13/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,55.0
1269,INC2018-186,Fire,12/19/2018,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1270,INC2018-187,Release of Substance,12/31/2018,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,609.0
1271,INC2019-001,Release of Substance,01/03/2019,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,735.8
1272,INC2019-003,Operation Beyond Design Limits,01/10/2019,Alberta,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP,Not Applicable,
1273,INC2019-004,Fire,01/10/2019,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1274,INC2019-005,Fire,01/10/2019,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,
1275,INC2019-006,Serious Injury (CER or TSB),01/11/2019,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
1276,INC2019-007,Fire,01/15/2019,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1277,INC2019-008,Release of Substance,01/16/2019,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,2866.0
1278,INC2019-013,Release of Substance,01/27/2019,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,0.13
1279,INC2019-014,Fire,01/29/2019,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1280,INC2019-016,Operation Beyond Design Limits,02/01/2019,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1281,INC2019-018,Fire,02/04/2019,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1282,INC2019-019,Serious Injury (CER or TSB),02/05/2019,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,
1283,INC2019-020,Fire,02/06/2019,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,
1284,INC2019-022,Fire,02/07/2019,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1285,INC2019-024,Operation Beyond Design Limits,02/14/2019,Alberta,Enbridge Pipelines Inc.,Not Applicable,
1286,INC2019-025,Release of Substance,02/20/2019,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,1258.35
1287,INC2019-026,Fire,02/22/2019,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1288,INC2019-028,Fire,02/28/2019,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1289,INC2019-029,Release of Substance,02/28/2019,New Brunswick,Twin Rivers Paper Company Inc.,Water,2.0
1290,INC2019-030,Fire,03/05/2019,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,
1291,INC2019-031,Fire,03/07/2019,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1292,INC2019-032,Operation Beyond Design Limits,03/14/2019,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1293,INC2019-034,Fire,03/18/2019,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1294,INC2019-036,Fire,03/21/2019,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1295,INC2019-037,Adverse Environmental Effects,03/26/2019,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,
1296,INC2019-038,Serious Injury (CER or TSB),04/04/2019,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1297,INC2019-040,Explosion,04/16/2019,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1298,INC2019-041,Release of Substance,04/17/2019,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,192183.48
1299,INC2019-046,Release of Substance,04/26/2019,New Brunswick,Twin Rivers Paper Company Inc.,Water,0.3
1300,INC2019-047,Release of Substance,04/29/2019,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,24419.0
1301,INC2019-048,Release of Substance,05/01/2019,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,0.01
1302,INC2019-049,Release of Substance,05/02/2019,New Brunswick,Twin Rivers Paper Company Inc.,Water,236.0
1303,INC2019-051,Operation Beyond Design Limits,05/14/2019,Ontario,TransCanada PipeLines Limited,Not Applicable,
1304,INC2019-062,Fire,05/27/2019,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1305,INC2019-065,Fire,05/30/2019,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1306,INC2019-067,Release of Substance,06/04/2019,Quebec,Champion Pipe Line Corporation Limited,Natural Gas - Sweet,1.0
1307,INC2019-068,Operation Beyond Design Limits,06/04/2019,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
1308,INC2019-072,Operation Beyond Design Limits,06/18/2019,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1309,INC2019-074,Fire,06/18/2019,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1310,INC2019-077,Fire,06/29/2019,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1311,INC2019-078,Operation Beyond Design Limits,07/03/2019,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1312,INC2019-079,Operation Beyond Design Limits,07/08/2019,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1313,INC2019-080,Explosion,07/10/2019,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1314,INC2019-081,Release of Substance,07/14/2019,Alberta,Express Pipeline Ltd.,Crude Oil - Sweet,5.0
1315,INC2019-084,Fire,07/22/2019,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1316,INC2019-089,Release of Substance,08/09/2019,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,155958.38
1317,INC2019-091,Serious Injury (CER or TSB),08/15/2019,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1318,INC2019-092,"Release of Substance, Adverse Environmental Effects",08/17/2019,British Columbia,Trans Mountain Pipeline ULC,Drilling Fluid,74.0
1319,INC2019-096,Fire,08/28/2019,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1320,INC2019-097,Operation Beyond Design Limits,08/30/2019,Ontario,TransCanada PipeLines Limited,Not Applicable,
1321,INC2019-098,Release of Substance,09/02/2019,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Crude Oil - Sweet,50.0
1322,INC2019-099,Fire,09/08/2019,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1323,INC2019-100,Fire,09/11/2019,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1324,INC2019-103,Operation Beyond Design Limits,09/25/2019,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
1325,INC2019-104,Operation Beyond Design Limits,09/26/2019,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1326,INC2019-105,Operation Beyond Design Limits,09/30/2019,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1327,INC2019-107,Operation Beyond Design Limits,10/05/2019,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1328,INC2019-109,Release of Substance,10/09/2019,Alberta,Enbridge Pipelines Inc.,Crude Oil - Synthetic,8.0
1329,INC2019-112,Release of Substance,10/18/2019,Alberta,Trans Mountain Pipeline ULC,Crude Oil - Sweet,2.0
1330,INC2019-113,Release of Substance,10/18/2019,Alberta,NOVA Gas Transmission Ltd.,Lube Oil,3.18
1331,INC2019-114,Operation Beyond Design Limits,10/21/2019,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1332,INC2019-116,Fire,10/23/2019,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1333,INC2019-118,Operation Beyond Design Limits,10/26/2019,British Columbia,Foothills Pipe Lines Ltd.,Not Applicable,
1334,INC2019-120,Release of Substance,11/05/2019,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,31775.96
1335,INC2019-124,Release of Substance,11/14/2019,Alberta,TransCanada Keystone Pipeline GP Ltd.,Crude Oil - Sweet,6.0
1336,INC2019-131,Serious Injury (CER or TSB),12/09/2019,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1337,INC2019-133,Fire,12/15/2019,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,
1338,INC2019-135,Operation Beyond Design Limits,12/18/2019,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
1339,INC2020-002,Release of Substance,01/14/2020,Saskatchewan,TransCanada Keystone Pipeline GP Ltd.,Crude Oil - Sweet,29.0
1340,INC2020-004,Operation Beyond Design Limits,01/17/2020,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1341,INC2020-005,Release of Substance,01/21/2020,Saskatchewan,Enbridge Pipelines Inc.,Condensate,26.0
1342,INC2020-006,Fire,01/26/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1343,INC2020-007,Fire,01/28/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1344,INC2020-009,Serious Injury (CER or TSB),01/31/2020,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1345,INC2020-010,Serious Injury (CER or TSB),01/31/2020,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1346,INC2020-011,Release of Substance,02/02/2020,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,2.13
1347,INC2020-014,Serious Injury (CER or TSB),02/04/2020,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,
1348,INC2020-015,Fire,02/04/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1349,INC2020-016,Release of Substance,02/07/2020,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,0.1
1350,INC2020-017,Release of Substance,02/14/2020,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,22702.0
1351,INC2020-018,Fire,02/14/2020,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1352,INC2020-021,Explosion,02/20/2020,Saskatchewan,Many Islands Pipe Lines (Canada) Limited,Not Applicable,
1353,INC2020-024,Fire,02/23/2020,Ontario,TransCanada PipeLines Limited,Not Applicable,
1354,INC2020-026,Fire,03/01/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1355,INC2020-028,Explosion,03/04/2020,Saskatchewan,Alliance Pipeline Ltd as General Partner of Alliance Pipeline Limited Partnership,Not Applicable,
1356,INC2020-029,Fire,03/06/2020,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1357,INC2020-030,Operation Beyond Design Limits,03/09/2020,Ontario,TransCanada PipeLines Limited,Not Applicable,
1358,INC2020-033,Fire,03/23/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1359,INC2020-034,Fire,03/30/2020,British Columbia,NOVA Gas Transmission Ltd.,Not Applicable,
1360,INC2020-036,Release of Substance,04/10/2020,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,9100.0
1361,INC2020-039,Release of Substance,04/23/2020,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,129636.35
1362,INC2020-040,Operation Beyond Design Limits,04/24/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1363,INC2020-042,Operation Beyond Design Limits,04/25/2020,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
